 ,Orden del país,Trimestre,Año(aaaa)-Trimestre(t),Año(aaaa),Clasificación inversión directa,Descripción tipo inversión directa,Valor anual,Estado de la información,Periodicidad de la información
Isla de Man,46,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"-0,115499782891841",Provisional,Trimestral
Islas Caimán,39,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"45,7050771341393",Provisional,Trimestral
Islas Vírgenes Británicas,40,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"65,7633906124515",Provisional,Trimestral
Israel,47,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"2,13133202224232",Provisional,Trimestral
Italia,48,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"4,5801184870963",Provisional,Trimestral
Japón,49,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"8,11252899228999",Provisional,Trimestral
Jordania,50,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Kuwait,51,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Liberia,53,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Liechtenstein,54,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Lituania,55,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Luxemburgo,56,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"15,4303509786007",Provisional,Trimestral
Líbano,52,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Malasia,57,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"0,069432293071486",Provisional,Trimestral
México,58,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"40,1139405723248",Provisional,Trimestral
Nicaragua,59,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Noruega,60,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"0,29770942490676",Provisional,Trimestral
Nueva Zelanda,61,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"0,217175",Provisional,Trimestral
Otros Países,81,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Panamá,63,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"489,668373593047",Provisional,Trimestral
Paraguay,64,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"0,55",Provisional,Trimestral
Países Bajos,62,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"74,0822760035497",Provisional,Trimestral
Perú,65,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"14,4119940651786",Provisional,Trimestral
Portugal,66,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"6,02792726005389",Provisional,Trimestral
Puerto Rico,67,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"0,43172365",Provisional,Trimestral
República Dominicana,69,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"0,107966801864932",Provisional,Trimestral
Singapur,70,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"38,8372868428142",Provisional,Trimestral
Sri Lanka,71,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Sudáfrica,74,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"12,72426144",Provisional,Trimestral
Suecia,72,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"14,9915578532279",Provisional,Trimestral
Suiza,73,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"629,870451219436",Provisional,Trimestral
Tailandia,75,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Taiwán,76,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"0,09989759",Provisional,Trimestral
Total paises,82,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"2126,8106246245",Provisional,Trimestral
Ucrania,77,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Uruguay,78,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"-13,4610901006483",Provisional,Trimestral
Venezuela,79,1,2021-1,2021,Países,Inversión Extranjera Directa en Colombia,"0,374208646598146",Provisional,Trimestral
Afganistán,1,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Afganistán,1,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Albania,2,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Albania,2,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Alemania,3,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"50,8801607194445",Provisional,Anual
Alemania,3,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-1,17261561500231",Provisional,Trimestral
Anguilla,4,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"11,2520682168358",Provisional,Anual
Anguilla,4,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"115,81415146772",Provisional,Trimestral
Antillas Holandesas,5,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,158677269403718",Provisional,Anual
Antillas Holandesas,5,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,017800892343078",Provisional,Trimestral
Argentina,6,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"3,53368194163101",Provisional,Anual
Argentina,6,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"1,95617490702117",Provisional,Trimestral
Aruba,7,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,443351784166159",Provisional,Anual
Aruba,7,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,008924252270201",Provisional,Trimestral
Australia,8,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"31,0266891063257",Provisional,Anual
Australia,8,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-2,58146789378835",Provisional,Trimestral
Austria,9,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"31,5634359992324",Provisional,Anual
Austria,9,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"2,41605511217846",Provisional,Trimestral
Bahamas,10,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-10,0620720289533",Provisional,Anual
Bahamas,10,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-15,2341747700309",Provisional,Trimestral
Barbados,11,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"53,9014036722111",Provisional,Anual
Barbados,11,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-1,66007326678476",Provisional,Trimestral
Belice,13,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"4,62564669814578",Provisional,Anual
Belice,13,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,553954967916323",Provisional,Trimestral
Bermudas,14,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-308,398158937724",Provisional,Anual
Bermudas,14,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-38,6276140371365",Provisional,Trimestral
Bolivia,15,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,504031326412694",Provisional,Anual
Bolivia,15,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,214391066053601",Provisional,Trimestral
Brasil,16,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"63,1107330497214",Provisional,Anual
Brasil,16,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-13,5225508544179",Provisional,Trimestral
Bélgica,12,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"10,4629041263468",Provisional,Anual
Bélgica,12,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,15043746529818",Provisional,Trimestral
Canadá,17,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"556,246892288477",Provisional,Anual
Canadá,17,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"5,6812600103901",Provisional,Trimestral
Chile,18,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"298,472853975045",Provisional,Anual
Chile,18,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"185,556228535994",Provisional,Trimestral
China,19,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"64,1753972704432",Provisional,Anual
China,19,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"9,03655033415634",Provisional,Trimestral
Chipre,21,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-4,18433588210894",Provisional,Anual
Chipre,21,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,025273082325719",Provisional,Trimestral
Corea del Sur,20,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"4,6701418345786",Provisional,Anual
Corea del Sur,20,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"1,02070337229015",Provisional,Trimestral
Costa Rica,22,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-1,35618675314592",Provisional,Anual
Costa Rica,22,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-30,3317437687102",Provisional,Trimestral
Cuba,23,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,217357457932378",Provisional,Anual
Cuba,23,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,03790419189263",Provisional,Trimestral
Curazao,24,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,48826795926026",Provisional,Anual
Curazao,24,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,176236042755138",Provisional,Trimestral
Dinamarca,25,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-1,2984342434101",Provisional,Anual
Dinamarca,25,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,008105212141784",Provisional,Trimestral
Ecuador,26,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"30,0820494923794",Provisional,Anual
Ecuador,26,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"7,85095502990807",Provisional,Trimestral
El Salvador,27,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,299122777554519",Provisional,Anual
El Salvador,27,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-29,0549766859576",Provisional,Trimestral
Escocia,28,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"15,5621095980262",Provisional,Anual
Escocia,28,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"2,80482659483327",Provisional,Trimestral
España,29,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"1708,92139146012",Provisional,Anual
España,29,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"312,53469272145",Provisional,Trimestral
Estados Unidos,30,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"1843,13677438928",Provisional,Anual
Estados Unidos,30,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"752,832305103063",Provisional,Trimestral
Finlandia,31,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-9,37496589896712",Provisional,Anual
Finlandia,31,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-8,51458792152334",Provisional,Trimestral
Francia,32,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"64,2739173557459",Provisional,Anual
Francia,32,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-8,48021874292142",Provisional,Trimestral
Gibraltar,33,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,138204021710653",Provisional,Anual
Gibraltar,33,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,085258852237511",Provisional,Trimestral
Grecia,34,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,962448731731933",Provisional,Anual
Grecia,34,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,025939752956238",Provisional,Trimestral
Guatemala,35,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"40,8818842144288",Provisional,Anual
Guatemala,35,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"16,1569476345033",Provisional,Trimestral
Honduras,36,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,952202835711895",Provisional,Anual
Honduras,36,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,002979730037072",Provisional,Trimestral
Hong Kong,37,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"10,4188943363662",Provisional,Anual
Hong Kong,37,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,511856769883659",Provisional,Trimestral
Hungría,38,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-58,9905369102546",Provisional,Anual
Hungría,38,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-4,30067060124192",Provisional,Trimestral
India,41,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"4,1822121373213",Provisional,Anual
India,41,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,565083741649433",Provisional,Trimestral
Inglaterra,42,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"269,210177273887",Provisional,Anual
Inglaterra,42,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,778303004192066",Provisional,Trimestral
Irlanda⁴,45,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"1,71432396007183",Provisional,Anual
Irlanda⁴,45,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-5,92349403434719",Provisional,Trimestral
Irán,44,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Irán,44,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Isla de Man,46,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-1,69837904274664",Provisional,Anual
Isla de Man,46,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-1,64557707242324",Provisional,Trimestral
Islas Caimán,39,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-8,49599738174772",Provisional,Anual
Islas Caimán,39,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"28,9100278628216",Provisional,Trimestral
Islas Vírgenes Británicas,40,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"726,242210928681",Provisional,Anual
Islas Vírgenes Británicas,40,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"198,144175577405",Provisional,Trimestral
Israel,47,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,111248053645943",Provisional,Anual
Israel,47,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-2,61629892399028",Provisional,Trimestral
Italia,48,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"105,368434704974",Provisional,Anual
Italia,48,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"28,1788634676647",Provisional,Trimestral
Japón,49,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"30,2463671245508",Provisional,Anual
Japón,49,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,330211257971344",Provisional,Trimestral
Jordania,50,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,011582049165401",Provisional,Anual
Jordania,50,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,002019752247065",Provisional,Trimestral
Kuwait,51,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,078347089968206",Provisional,Anual
Kuwait,51,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,014444929631231",Provisional,Trimestral
Liberia,53,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Liberia,53,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Liechtenstein,54,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,073909682986901",Provisional,Anual
Liechtenstein,54,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,012888846020322",Provisional,Trimestral
Lituania,55,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Lituania,55,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Luxemburgo,56,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"81,7532097040065",Provisional,Anual
Luxemburgo,56,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"21,7588855519889",Provisional,Trimestral
Líbano,52,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,026405221166562",Provisional,Anual
Líbano,52,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,021603378604886",Provisional,Trimestral
Malasia,57,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,127185829261352",Provisional,Anual
Malasia,57,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,092837026343986",Provisional,Trimestral
México,58,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-934,407281990869",Provisional,Anual
México,58,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-863,860001642951",Provisional,Trimestral
Nicaragua,59,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"18,2864500431969",Provisional,Anual
Nicaragua,59,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"7,6991554550437",Provisional,Trimestral
Noruega,60,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,418514938895307",Provisional,Anual
Noruega,60,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,048054279655209",Provisional,Trimestral
Nueva Zelanda,61,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,84982382248268",Provisional,Anual
Nueva Zelanda,61,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,139538784730805",Provisional,Trimestral
Otros Países,81,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"14,6742993816515",Provisional,Anual
Otros Países,81,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"5,16857484541288",Provisional,Trimestral
Panamá,63,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"598,287699436048",Provisional,Anual
Panamá,63,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"250,171977698212",Provisional,Trimestral
Paraguay,64,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"19,4041527653175",Provisional,Anual
Paraguay,64,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"16,3996018484242",Provisional,Trimestral
Países Bajos,62,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"1098,18755015383",Provisional,Anual
Países Bajos,62,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"924,04034249694",Provisional,Trimestral
Perú,65,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"196,721711785999",Provisional,Anual
Perú,65,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"157,664351409657",Provisional,Trimestral
Portugal,66,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"43,640541222779",Provisional,Anual
Portugal,66,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"4,65515128968585",Provisional,Trimestral
Puerto Rico,67,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"3,08360375934658",Provisional,Anual
Puerto Rico,67,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"2,0918855627647",Provisional,Trimestral
República Dominicana,69,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"4,31985886066345",Provisional,Anual
República Dominicana,69,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"3,34939365662979",Provisional,Trimestral
Singapur,70,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"4,15523295064466",Provisional,Anual
Singapur,70,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"1,07795451455247",Provisional,Trimestral
Sri Lanka,71,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Sri Lanka,71,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Sudáfrica,74,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-42,5195411233467",Provisional,Anual
Sudáfrica,74,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-19,1355570414524",Provisional,Trimestral
Suecia,72,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"30,7056615861597",Provisional,Anual
Suecia,72,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-5,18943390707426",Provisional,Trimestral
Suiza,73,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"582,774114361894",Provisional,Anual
Suiza,73,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"55,8666448085123",Provisional,Trimestral
Tailandia,75,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Tailandia,75,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Taiwán,76,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,036885364932883",Provisional,Anual
Taiwán,76,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,021923626591021",Provisional,Trimestral
Total paises,82,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"7458,6249842193",Provisional,Anual
Total paises,82,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"2068,65560170696",Provisional,Trimestral
Ucrania,77,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,008061527835927",Provisional,Anual
Ucrania,77,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"-0,000010729619871",Provisional,Trimestral
Uruguay,78,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"105,100702789877",Provisional,Anual
Uruguay,78,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,245904178051026",Provisional,Trimestral
Venezuela,79,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"3,10630587587086",Provisional,Anual
Venezuela,79,4,2020-4,2020,Países,Inversión Extranjera Directa en Colombia,"0,806617692961824",Provisional,Trimestral
Afganistán,1,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Albania,2,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Alemania,3,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"16,9040231902116",Provisional,Trimestral
Anguilla,4,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-55,2107790801563",Provisional,Trimestral
Antillas Holandesas,5,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,030536514170876",Provisional,Trimestral
Argentina,6,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,754892188879009",Provisional,Trimestral
Aruba,7,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,13588034821143",Provisional,Trimestral
Australia,8,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"27,7300272974882",Provisional,Trimestral
Austria,9,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"6,62621300031611",Provisional,Trimestral
Bahamas,10,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"2,483086501957",Provisional,Trimestral
Barbados,11,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"4,78320409262951",Provisional,Trimestral
Belice,13,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"1,89614912521359",Provisional,Trimestral
Bermudas,14,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-76,1616985078801",Provisional,Trimestral
Bolivia,15,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,288518096584512",Provisional,Trimestral
Brasil,16,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"10,0707591042322",Provisional,Trimestral
Bélgica,12,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-0,544664052803787",Provisional,Trimestral
Canadá,17,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"208,077643137889",Provisional,Trimestral
Chile,18,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-8,88186358962859",Provisional,Trimestral
China,19,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"11,926110059022",Provisional,Trimestral
Chipre,21,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-0,971205155590433",Provisional,Trimestral
Corea del Sur,20,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"1,8245238901001",Provisional,Trimestral
Costa Rica,22,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"8,30356115135615",Provisional,Trimestral
Cuba,23,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-0,081532603740683",Provisional,Trimestral
Curazao,24,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,68748751602942",Provisional,Trimestral
Dinamarca,25,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-2,32627003424079",Provisional,Trimestral
Ecuador,26,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"9,34906172069861",Provisional,Trimestral
El Salvador,27,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"25,4264955752798",Provisional,Trimestral
Escocia,28,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"6,45452786784904",Provisional,Trimestral
España,29,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"295,069226340591",Provisional,Trimestral
Estados Unidos,30,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"272,351618034936",Provisional,Trimestral
Finlandia,31,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-0,872160231982534",Provisional,Trimestral
Francia,32,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"7,77001400215728",Provisional,Trimestral
Gibraltar,33,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,016999391508463",Provisional,Trimestral
Grecia,34,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-0,000344341340227",Provisional,Trimestral
Guatemala,35,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"23,3233023248995",Provisional,Trimestral
Honduras,36,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-0,555366957456013",Provisional,Trimestral
Hong Kong,37,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"1,43107959701301",Provisional,Trimestral
Hungría,38,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"0,701442475425428",Provisional,Trimestral
India,41,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-0,664745054955932",Provisional,Trimestral
Inglaterra,42,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"60,181940721648",Provisional,Trimestral
Irlanda⁴,45,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-9,82072340486353",Provisional,Trimestral
Irán,44,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Isla de Man,46,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-0,054674711312809",Provisional,Trimestral
Islas Caimán,39,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"-144,569377618547",Provisional,Trimestral
Islas Vírgenes Británicas,40,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"48,3127320800539",Provisional,Trimestral
Israel,47,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"3,23498779798413",Provisional,Trimestral
Italia,48,3,2020-3,2020,Países,Inversión Extranjera Directa en Colombia,"40,9061642170567",Provisional,Trimestral
